"=""ID""",Name,"Sent Time","UT measurement (mm)","Temperature (°C)",PSI,"Apply Temperature Compensation Flag"
"=""- -11XI006B""","=""F1101-22-2""","2016-07-05 05:56:47",12.133,390.38,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-05 18:06:49",12.138,394.69,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-06 06:15:41",12.137,395.49,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-06 18:28:35",12.135,393.93,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-07 06:39:35",12.135,395.44,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-07 18:53:33",12.145,401.03,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-08 07:04:54",12.144,401.74,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-08 19:16:41",12.141,401.93,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-09 07:26:39",12.14,402.51,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-09 19:34:09",12.147,401.11,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-10 07:43:58",12.146,403.73,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-10 19:55:49",12.146,402.64,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-11 08:10:27",12.142,402,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-11 20:21:13",12.142,397.14,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-12 08:35:31",12.135,396.97,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-12 20:41:57",12.142,397.51,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-13 08:48:52",12.142,397.04,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-13 20:57:01",12.132,398.36,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-14 09:03:29",12.141,397.38,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-14 21:18:18",12.14,398.68,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-15 09:45:24",12.141,400.4,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-15 22:08:28",12.143,399.68,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-16 10:17:10",12.143,401.65,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-16 22:24:04",12.139,401.93,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-17 10:31:02",12.14,400.4,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-17 22:40:32",12.135,398.99,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-18 10:51:44",12.139,398.32,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-18 23:13:29",12.138,399.22,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-19 11:26:22",12.139,399.36,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-19 23:34:39",12.137,399.62,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-20 11:42:35",12.142,399.03,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-20 23:47:27",12.134,400.06,,1
"=""- -11XI006B""","=""F1101-22-2""","2016-07-21 12:05:57",12.14,394.82,,1
