"=""ID""",Name,"Sent Time","UT measurement (mm)","Temperature (°C)",PSI,"Apply Temperature Compensation Flag"
"=""#00093""","=""P100254-2""","2017-05-16 05:58:15",7.064,281.93,,1
"=""#00093""","=""P100254-2""","2017-05-16 18:00:28",7.066,282.28,,1
"=""#00093""","=""P100254-2""","2017-05-17 06:03:24",7.067,282.59,,1
"=""#00093""","=""P100254-2""","2017-05-17 18:05:34",7.065,281.81,,1
"=""#00093""","=""P100254-2""","2017-05-18 06:07:59",7.064,283.94,,1
"=""#00093""","=""P100254-2""","2017-05-18 18:09:54",7.069,282.72,,1
"=""#00093""","=""P100254-2""","2017-05-19 06:11:56",7.064,282.06,,1
"=""#00093""","=""P100254-2""","2017-05-19 18:14:13",7.065,282.12,,1
"=""#00093""","=""P100254-2""","2017-05-20 06:16:16",7.064,282.06,,1
"=""#00093""","=""P100254-2""","2017-05-20 18:18:41",7.066,284.34,,1
"=""#00093""","=""P100254-2""","2017-05-21 06:20:38",7.07,285.56,,1
"=""#00093""","=""P100254-2""","2017-05-21 18:22:55",7.066,284.37,,1
"=""#00093""","=""P100254-2""","2017-05-22 06:25:33",7.063,285.22,,1
"=""#00093""","=""P100254-2""","2017-05-22 18:27:33",7.065,285.06,,1
"=""#00093""","=""P100254-2""","2017-05-23 06:29:18",7.064,285.25,,1
"=""#00093""","=""P100254-2""","2017-05-23 18:31:22",7.062,284.66,,1
"=""#00093""","=""P100254-2""","2017-05-24 06:33:12",7.064,285.87,,1
"=""#00093""","=""P100254-2""","2017-05-24 18:35:30",7.064,284.94,,1
"=""#00093""","=""P100254-2""","2017-05-25 06:37:57",7.066,287.19,,1
"=""#00093""","=""P100254-2""","2017-05-25 18:40:17",7.061,289.28,,1
"=""#00093""","=""P100254-2""","2017-05-26 06:42:35",7.066,289.07,,1
"=""#00093""","=""P100254-2""","2017-05-26 18:44:53",7.067,287.19,,1
"=""#00093""","=""P100254-2""","2017-05-27 06:46:55",7.064,288.28,,1
"=""#00093""","=""P100254-2""","2017-05-27 18:48:37",7.064,286.72,,1
"=""#00093""","=""P100254-2""","2017-05-28 06:51:00",7.062,280.47,,1
"=""#00093""","=""P100254-2""","2017-05-28 18:53:35",7.066,281.97,,1
"=""#00093""","=""P100254-2""","2017-05-29 06:55:40",7.067,281.66,,1
"=""#00093""","=""P100254-2""","2017-05-29 18:57:40",7.062,280.09,,1
"=""#00093""","=""P100254-2""","2017-05-30 06:59:44",7.066,280.03,,1
"=""#00093""","=""P100254-2""","2017-05-30 19:02:07",7.063,287.66,,1
"=""#00093""","=""P100254-2""","2017-05-31 07:04:30",7.067,289.84,,1
"=""#00093""","=""P100254-2""","2017-05-31 19:06:25",7.063,286.81,,1
"=""#00093""","=""P100254-2""","2017-06-01 07:08:27",7.064,287.69,,1
"=""#00093""","=""P100254-2""","2017-06-01 19:10:34",7.061,286.53,,1
"=""#00093""","=""P100254-2""","2017-06-02 07:12:32",7.059,283.31,,1
"=""#00093""","=""P100254-2""","2017-06-02 19:14:18",7.058,283.37,,1
"=""#00093""","=""P100254-2""","2017-06-03 07:16:15",7.057,283.97,,1
"=""#00093""","=""P100254-2""","2017-06-03 19:18:23",7.061,283.03,,1
"=""#00093""","=""P100254-2""","2017-06-04 07:21:29",7.06,283.22,,1
"=""#00093""","=""P100254-2""","2017-06-04 19:26:49",7.06,283.34,,1
"=""#00093""","=""P100254-2""","2017-06-05 07:28:51",7.06,283.31,,1
"=""#00093""","=""P100254-2""","2017-06-05 19:31:02",7.059,291.38,,1
"=""#00093""","=""P100254-2""","2017-06-06 07:33:06",7.066,290.5,,1
"=""#00093""","=""P100254-2""","2017-06-06 19:35:09",7.057,289.5,,1
"=""#00093""","=""P100254-2""","2017-06-07 07:37:03",7.059,288.75,,1
"=""#00093""","=""P100254-2""","2017-06-07 19:39:11",7.057,287.03,,1
"=""#00093""","=""P100254-2""","2017-06-08 07:41:18",7.064,284.56,,1
"=""#00093""","=""P100254-2""","2017-06-08 19:43:23",7.06,285.12,,1
"=""#00093""","=""P100254-2""","2017-06-09 07:45:23",7.058,285.12,,1
"=""#00093""","=""P100254-2""","2017-06-09 19:47:12",7.058,285.5,,1
"=""#00093""","=""P100254-2""","2017-06-10 07:49:30",7.058,285.5,,1
"=""#00093""","=""P100254-2""","2017-06-10 19:51:57",7.06,285.19,,1
"=""#00093""","=""P100254-2""","2017-06-11 07:54:05",7.066,285.22,,1
"=""#00093""","=""P100254-2""","2017-06-11 19:56:42",7.059,288.25,,1
"=""#00093""","=""P100254-2""","2017-06-12 07:58:38",7.06,290.16,,1
"=""#00093""","=""P100254-2""","2017-06-12 20:01:03",7.057,287.69,,1
"=""#00093""","=""P100254-2""","2017-06-13 08:03:23",7.062,288.38,,1
"=""#00093""","=""P100254-2""","2017-06-13 20:05:41",7.06,288.66,,1
"=""#00093""","=""P100254-2""","2017-06-14 08:08:06",7.059,288.54,,1
"=""#00093""","=""P100254-2""","2017-06-14 20:10:20",7.059,283.06,,1
"=""#00093""","=""P100254-2""","2017-06-15 08:12:36",7.062,282.5,,1
"=""#00093""","=""P100254-2""","2017-06-15 20:15:19",7.058,282.34,,1
"=""#00093""","=""P100254-2""","2017-06-16 08:17:55",7.058,282.68,,1
"=""#00093""","=""P100254-2""","2017-06-16 20:20:05",7.058,282.15,,1
"=""#00093""","=""P100254-2""","2017-06-17 08:22:33",7.062,278.62,,1
"=""#00093""","=""P100254-2""","2017-06-17 20:24:43",7.057,280.18,,1
"=""#00093""","=""P100254-2""","2017-06-18 08:26:50",7.056,280.87,,1
"=""#00093""","=""P100254-2""","2017-06-18 20:28:47",7.056,280.84,,1
"=""#00093""","=""P100254-2""","2017-06-19 08:30:39",7.059,281.75,,1
"=""#00093""","=""P100254-2""","2017-06-19 20:32:33",7.053,281.43,,1
"=""#00093""","=""P100254-2""","2017-06-20 08:35:01",7.057,281.75,,1
"=""#00093""","=""P100254-2""","2017-06-20 20:37:11",7.054,281.43,,1
"=""#00093""","=""P100254-2""","2017-06-21 08:39:35",7.061,280.49,,1
"=""#00093""","=""P100254-2""","2017-06-21 20:42:13",7.052,282.75,,1
"=""#00093""","=""P100254-2""","2017-06-22 08:44:22",7.052,287.66,,1
"=""#00093""","=""P100254-2""","2017-06-22 20:45:59",7.061,289,,1
"=""#00093""","=""P100254-2""","2017-06-23 08:48:52",7.058,287.41,,1
"=""#00093""","=""P100254-2""","2017-06-23 20:50:50",7.062,287.69,,1
"=""#00093""","=""P100254-2""","2017-06-24 08:52:43",7.057,287.06,,1
"=""#00093""","=""P100254-2""","2017-06-24 20:56:18",7.058,288.06,,1
"=""#00093""","=""P100254-2""","2017-06-25 08:59:30",7.056,287.72,,1
"=""#00093""","=""P100254-2""","2017-06-25 21:01:29",7.055,288.06,,1
"=""#00093""","=""P100254-2""","2017-06-26 09:03:35",7.06,287.72,,1
"=""#00093""","=""P100254-2""","2017-06-26 21:05:39",7.054,286.72,,1
